id,class,5,10,15,47,52,56,72,76,77,80,83,97,100,103,106,108,110,116,121,125,127,131,134,140,143,175,206,216,217,225,228,231,242,248,267,270,279,286,294,296,306,322,343,359,363,378,415,424,439,442,449,454,459,470,473,489,491,508,510,517,521,524,529,535,541,561,567,589,600,617,624,644,647,685,693,712,718,733,746,758,768
0-1,0,2235,53580,31487,10223,16819,165091,20843,3261,30059,21644,14217,1158,4449,1094,121,34957,57827,22019,7071,14890,17937,4325,355,588,256598,2167,1560,2294,768,285168,902,760,10284,366032,1726,5765,15080,1767,8928,115575,20169,31749,352991,2753,152629,21059,3048,500,3527,10656,62179,111454,8883,45103,11040,3397,3274,10902,5561,1075,9050,72370,15784,29693,80753,1081,25397,3250,10937,237918,12276,5168,5073,12174,98107,1335,12042,15616,1038,179468,6547
0-2,0,2061,59394,33831,10985,18681,175732,21937,3328,33149,22744,12559,1664,4527,1188,103,36788,62281,23693,7042,13694,18787,3963,369,42217,226721,4940,1499,3121,980,303382,1130,672,8440,372983,1815,6286,16123,1847,8500,111874,22632,32537,345066,8010,108570,22348,3122,865,2634,11220,84966,97621,13473,46460,11042,3750,4561,13030,5874,262,7635,67242,17598,27189,114959,1129,29110,3547,11205,249922,15555,4612,5060,12793,112052,1112,15626,21510,1254,182370,7304
0-3,0,1928,52595,34959,10288,16706,149811,19693,3130,30628,22129,10137,17686,6074,1232,147,33709,59913,22628,6492,12533,18535,4565,2208,606,237840,6483,1487,3673,6563,293766,1307,2084,8269,371606,1374,7140,16549,2315,8654,109137,22745,33703,400094,7720,122891,18703,3419,758,3118,12058,60734,115481,10222,44909,12593,3492,4016,11913,6482,1069,7725,64741,16367,51051,94374,1233,27593,3431,10276,249406,14954,5078,5221,13648,103137,1104,14455,21376,1243,194898,7152
0.5-1,0.5,1756,28107,17345,8140,7779,87041,9744,2044,14980,12252,10262,973,1350,1350,113,19773,30521,13366,3503,13456,10910,2250,364,765,233342,7085,1993,567,7435,247160,611,640,8405,318994,1548,5535,13482,6765,7835,93632,24725,30520,331045,2112,117744,14089,2677,570,2622,10379,59195,87772,8070,52151,9946,4137,4241,11085,5747,827,7695,59754,15555,26577,81843,1054,25780,3484,11712,239639,14963,4626,4852,12208,98953,1066,14507,33238,1103,170496,7013
0.5-2,0.5,2046,52041,31066,12250,17174,161566,21771,4569,29639,20911,19371,1841,4174,1327,445,34548,53966,20774,7363,20632,16439,4666,435,862,301846,522,2002,188,414,280410,988,821,10549,357174,1971,6291,16988,8657,10075,115207,32299,31066,362704,2652,137949,20120,4045,795,2644,12812,74546,108796,10289,55271,14276,4177,3812,12228,6464,1040,8302,71439,17338,30954,91838,1393,29361,4020,11901,245328,15091,5172,5289,13089,113186,1211,15458,36820,1556,198529,8560
0.5-3,0.5,2092,51838,33628,12021,15197,136827,17109,3576,26484,18810,12301,9466,4983,1215,121,29926,52787,20541,5908,15093,16844,3645,1061,812,273672,2719,1919,183,987,279019,961,1339,8941,351203,1884,6330,14004,8264,8999,101834,28993,32897,393800,5060,129318,18265,3446,877,2642,12247,56806,110680,10920,51605,12667,4098,2766,11707,5646,1051,7167,64933,16148,54019,108120,1236,27842,3166,10747,246742,14069,5138,5066,12805,99736,1260,14168,30452,1077,179106,6361
1-1,1,2061,54037,32097,14183,16898,160377,21365,5390,28588,20327,24819,383,4290,1144,128,34396,58117,22844,7324,29844,17785,4432,420,702,342581,3108,3332,2686,937,289455,1051,980,16805,359264,1769,5833,15914,24552,10819,112073,38456,32778,361730,2867,198251,21611,3759,1105,3701,12256,52591,117964,8920,62677,12736,4794,3141,10451,5797,1559,9166,72643,16304,27890,79932,1231,26926,3722,12296,218689,12878,4913,5124,10457,94714,1368,9994,44004,977,173434,6414
1-2,1,1980,49797,33544,13039,14793,141228,16951,4662,27636,18837,15996,7013,4233,1172,284,29895,54317,21089,5763,21200,16786,3406,355,735,319344,2946,3315,162,1345,288767,1611,1180,12791,359139,1832,6953,15731,23777,10380,102625,34757,34323,400115,3273,145650,19694,3463,1009,2556,12341,64469,100448,8770,68067,13127,4876,3876,11243,5632,1009,6875,66416,16829,57908,83127,1276,28814,3758,12547,240437,16457,4936,5290,12679,104396,1155,12972,49781,1134,169088,6617
1-3,1,1782,55770,28450,11878,12040,106960,13588,3690,22252,22071,12850,45884,16642,6957,152,25003,46438,19000,7102,19466,15173,6801,9467,364,258946,488,2328,2206,812,254119,1702,4883,11674,325457,1868,6090,13589,20202,8703,86318,34133,29591,377811,3234,139503,24005,3531,1246,2515,11210,65446,94950,11695,62941,12349,4209,2909,12364,4713,948,7400,69994,15975,51327,106304,1078,27229,3173,10993,259950,13513,4956,4677,11545,94682,1097,10928,39770,947,145047,4118
2-1,2,2035,45443,30969,13469,14025,128211,14831,5817,24322,17933,21758,12375,5523,906,153,27810,50007,18902,5443,30491,15542,3885,1368,747,340892,735,7728,152,5334,265870,1801,1603,19410,332335,1334,6607,18939,42476,11266,97167,36807,34211,364968,3436,181833,17567,3301,1230,2516,11562,53550,100400,8782,83292,12095,6084,3238,10865,5199,809,6508,66524,16145,61804,86444,1110,26259,3819,13216,228264,14999,5187,5083,11640,94844,899,12618,54564,1073,155480,5761
2-2,2,1831,47327,26099,12764,15496,130998,16685,6089,27534,18177,23144,359,3751,1053,157,32186,51503,20677,5651,34388,15993,3342,401,976,363633,531,9977,207,3491,300825,955,795,20886,371520,2157,7250,21801,47119,12190,113675,35629,40663,351469,3185,187754,18124,4272,1658,3374,13844,88400,82270,14210,112098,13143,7201,8477,15542,7000,929,8122,63150,21363,32429,132320,1363,35259,5006,15959,276196,20199,5605,5528,13525,137831,1000,20723,66313,1473,160253,7616
2-3,2,2028,49931,32024,12695,15834,124657,16299,5804,26083,18632,18088,11904,4952,1510,133,28048,52297,20438,5375,27318,16066,3480,1989,752,346131,7876,8934,182,921,293565,1017,1694,18499,358270,4801,7808,20017,47883,11272,101950,30330,39438,382106,7204,167565,17074,3500,1645,2703,13107,68836,94871,11743,102068,12687,6798,6391,13658,6460,1070,6593,59416,19110,57930,112592,1259,31000,4009,14984,264712,19131,5444,5328,13352,112794,988,16951,63111,947,155230,6479
3-1,3,2350,58655,34059,16097,19012,169964,22704,11997,30951,21837,40034,1037,4126,1143,112,36365,59346,23196,7446,51859,17322,4632,434,725,410750,8074,20907,226,15977,299216,841,1052,34442,372915,1924,6668,23778,68092,13387,118049,34553,39439,378139,2966,256090,18059,3390,1719,3324,11972,70029,108087,8780,122162,11611,7943,6201,11662,6688,1308,8501,64144,19715,30868,77412,1006,28951,4315,16510,260382,19278,5091,6139,13456,103161,1078,16003,72580,1331,166050,7189
